Campaign,Scenario #,Battle,Outcome,Prestige Reward,Branches To,Next Scenario ID,Outcome Text
Czech Legion - Siberian Anabasis (1917-1920),0,*** CZECH LEGION - SIBERIAN ANABASIS ***,TACTICAL,350,01. Kiev (28 February 1918),1,"OUTCOME

The Czech action at Zborow was a huge success for the Czech Legion. The Russian Army was weary of three years of defeat after defeat and were deeply demoralized. So were the Austro-Hungarian forces at the other side. Two of the Austrian regiments had more than 50% of Czechs filling the ranks. 

In the battle of Zborow the Czech Legion captured 62 officers, 3150 soldiers, 15 canons and lots of machine guns. The losses were only 185 killed and 800 wounded. Though in general, the Kerensky offensive was a failure, the Czechs proved their worth and spirit in battle.

The Czech victory was kept silent in the Habsburg Empire but was made public in almost all other countries, including Germany. Kerensky allowed the Legion to expand and conduct an independant offensive which had minimum success. The front kept quiet the coming months when another revolution, the Bolshevik revolution, took place in Russia broke out..."
Czech Legion - Siberian Anabasis (1917-1920),0,*** CZECH LEGION - SIBERIAN ANABASIS ***,LOSE,0,*** CZECH LEGION - SIBERIAN ANABASIS ***,0,"OUTCOME

The Czech action at Zborow was a huge success for the Czech Legion. The Russian Army was weary of three years of defeat after defeat and were deeply demoralized. So were the Austro-Hungarian forces at the other side. Two of the Austrian regiments had more than 50% of Czechs filling the ranks. 

In the battle of Zborow the Czech Legion captured 62 officers, 3150 soldiers, 15 canons and lots of machine guns. The losses were only 185 killed and 800 wounded. Though in general, the Kerensky offensive was a failure, the Czechs proved their worth and spirit in battle.

The Czech victory was kept silent in the Habsburg Empire but was made public in almost all other countries, including Germany. Kerensky allowed the Legion to expand and conduct an independant offensive which had minimum success. The front kept quiet the coming months when another revolution, the Bolshevik revolution, took place in Russia broke out..."
Czech Legion - Siberian Anabasis (1917-1920),1,01. Kiev (28 February 1918),BRILIANT,300,02. BACHMATSJ (13 March 1918),2,"OUTCOME

The German juggernaut into the Ukraine was in general unstoppable because the Imperial Russian Army was no more. Only scattered troops were fleeing to safety. Chaos was complete. Kiev was evacuated by the Bolsheviks as soon as the Germans came near.

The Czech Legion was also retreating east to stay out of German hands. The Legion's 2nd Regiment took up positions at the bridges over the Dnjepr River at Kiev and held these for five days, until 3 March 1918, so that the bulk of the Czech Legion could retreat east. The 2nd regiment then broke off contact and joined the Legion again. Kiev was now in German hands but the Czech Legion had escaped!"
Czech Legion - Siberian Anabasis (1917-1920),1,01. Kiev (28 February 1918),VICTORY,300,02. BACHMATSJ (13 March 1918),2,"OUTCOME

The German juggernaut into the Ukraine was in general unstoppable because the Imperial Russian Army was no more. Only scattered troops were fleeing to safety. Chaos was complete. Kiev was evacuated by the Bolsheviks as soon as the Germans came near.

The Czech Legion was also retreating east to stay out of German hands. The Legion's 2nd Regiment took up positions at the bridges over the Dnjepr River at Kiev and held these for five days, until 3 March 1918, so that the bulk of the Czech Legion could retreat east. The 2nd regiment then broke off contact and joined the Legion again. Kiev was now in German hands but the Czech Legion had escaped!"
Czech Legion - Siberian Anabasis (1917-1920),1,01. Kiev (28 February 1918),TACTICAL,300,02. BACHMATSJ (13 March 1918),2,"OUTCOME

The German juggernaut into the Ukraine was in general unstoppable because the Imperial Russian Army was no more. Only scattered troops were fleeing to safety. Chaos was complete. Kiev was evacuated by the Bolsheviks as soon as the Germans came near.

The Czech Legion was also retreating east to stay out of German hands. The Legion's 2nd Regiment took up positions at the bridges over the Dnjepr River at Kiev and held these for five days, until 3 March 1918, so that the bulk of the Czech Legion could retreat east. The 2nd regiment then broke off contact and joined the Legion again. Kiev was now in German hands but the Czech Legion had escaped!"
Czech Legion - Siberian Anabasis (1917-1920),1,01. Kiev (28 February 1918),LOSE,200,01. Kiev (28 February 1918),1,"OUTCOME

The German juggernaut into the Ukraine was in general unstoppable because the Imperial Russian Army was no more. Only scattered troops were fleeing to safety. Chaos was complete. Kiev was evacuated by the Bolsheviks as soon as the Germans came near.

The Czech Legion was also retreating east to stay out of German hands. The Legion's 2nd Regiment took up positions at the bridges over the Dnjepr River at Kiev and held these for five days, until 3 March 1918, so that the bulk of the Czech Legion could retreat east. The 2nd regiment then broke off contact and joined the Legion again. Kiev was now in German hands but the Czech Legion had escaped!"
Czech Legion - Siberian Anabasis (1917-1920),2,02. BACHMATSJ (13 March 1918),BRILIANT,0,03. TSJELJABINSK (14 May 1918),3,"OUTCOME

At Bachmatsj the Czech Legion, in cooperation with Soviet Red Army units, stopped the advance of the German Army and could march its way east, out of the German occupied regions of Russia.

Seeing no future staying in Russia, the Czech Legion decided to get out of Russia somehow. Ultimately the plan would be to travel across Siberia, using the Trans-Siberian railway, to reach Wladiwostok and embark to France. In the weeks after the action at Bachmatsj, the Legion was dispersed at the railways between Penza and the Ural mountains."
Czech Legion - Siberian Anabasis (1917-1920),2,02. BACHMATSJ (13 March 1918),VICTORY,0,03. TSJELJABINSK (14 May 1918),3,"OUTCOME

At Bachmatsj the Czech Legion, in cooperation with Soviet Red Army units, stopped the advance of the German Army and could march its way east, out of the German occupied regions of Russia.

Seeing no future staying in Russia, the Czech Legion decided to get out of Russia somehow. Ultimately the plan would be to travel across Siberia, using the Trans-Siberian railway, to reach Wladiwostok and embark to France. In the weeks after the action at Bachmatsj, the Legion was dispersed at the railways between Penza and the Ural mountains."
Czech Legion - Siberian Anabasis (1917-1920),2,02. BACHMATSJ (13 March 1918),TACTICAL,0,03. TSJELJABINSK (14 May 1918),3,"OUTCOME

At Bachmatsj the Czech Legion, in cooperation with Soviet Red Army units, stopped the advance of the German Army and could march its way east, out of the German occupied regions of Russia.

Seeing no future staying in Russia, the Czech Legion decided to get out of Russia somehow. Ultimately the plan would be to travel across Siberia, using the Trans-Siberian railway, to reach Wladiwostok and embark to France. In the weeks after the action at Bachmatsj, the Legion was dispersed at the railways between Penza and the Ural mountains."
Czech Legion - Siberian Anabasis (1917-1920),2,02. BACHMATSJ (13 March 1918),LOSE,200,02. BACHMATSJ (13 March 1918),2,"OUTCOME

At Bachmatsj the Czech Legion, in cooperation with Soviet Red Army units, stopped the advance of the German Army and could march its way east, out of the German occupied regions of Russia.

Seeing no future staying in Russia, the Czech Legion decided to get out of Russia somehow. Ultimately the plan would be to travel across Siberia, using the Trans-Siberian railway, to reach Wladiwostok and embark to France. In the weeks after the action at Bachmatsj, the Legion was dispersed at the railways between Penza and the Ural mountains."
Czech Legion - Siberian Anabasis (1917-1920),3,03. TSJELJABINSK (14 May 1918),BRILIANT,0,04. SAMARA (26 May 1918),4,"OUTCOME

With the Czech action at Tsjeljabinsk the imprisoned Legionairs were freed. Even more, the Soviet rule in the city was destroyed. The Legion would take care of their own way how to reach Wladiswostok and get out of Russia. No longer it would cooperate with the Soviet authorities. Still the Legion was scattered from Penza, west of the Volga River, to Tsjeljabinsk, east of the Urals..."
Czech Legion - Siberian Anabasis (1917-1920),3,03. TSJELJABINSK (14 May 1918),VICTORY,0,04. SAMARA (26 May 1918),4,"OUTCOME

With the Czech action at Tsjeljabinsk the imprisoned Legionairs were freed. Even more, the Soviet rule in the city was destroyed. The Legion would take care of their own way how to reach Wladiswostok and get out of Russia. No longer it would cooperate with the Soviet authorities. Still the Legion was scattered from Penza, west of the Volga River, to Tsjeljabinsk, east of the Urals..."
Czech Legion - Siberian Anabasis (1917-1920),3,03. TSJELJABINSK (14 May 1918),TACTICAL,0,04. SAMARA (26 May 1918),4,"OUTCOME

With the Czech action at Tsjeljabinsk the imprisoned Legionairs were freed. Even more, the Soviet rule in the city was destroyed. The Legion would take care of their own way how to reach Wladiswostok and get out of Russia. No longer it would cooperate with the Soviet authorities. Still the Legion was scattered from Penza, west of the Volga River, to Tsjeljabinsk, east of the Urals..."
Czech Legion - Siberian Anabasis (1917-1920),3,03. TSJELJABINSK (14 May 1918),LOSE,200,03. TSJELJABINSK (14 May 1918),3,"OUTCOME

With the Czech action at Tsjeljabinsk the imprisoned Legionairs were freed. Even more, the Soviet rule in the city was destroyed. The Legion would take care of their own way how to reach Wladiswostok and get out of Russia. No longer it would cooperate with the Soviet authorities. Still the Legion was scattered from Penza, west of the Volga River, to Tsjeljabinsk, east of the Urals..."
Czech Legion - Siberian Anabasis (1917-1920),4,04. SAMARA (26 May 1918),BRILIANT,0,05. KAZAN (7 July 1918),5,"OUTCOME

The Legion succesfully occupied Samara and was threatening more Russian cities along the Volga. Through foreign and through White Russian eyes, the Legion was an ideal force for the counter-revolution and overthrow the Soviets. However the Czech Legion was fighting its own struggle and it only occasionally co-operated with White Russian authorities."
Czech Legion - Siberian Anabasis (1917-1920),4,04. SAMARA (26 May 1918),VICTORY,0,05. KAZAN (7 July 1918),5,"OUTCOME

The Legion succesfully occupied Samara and was threatening more Russian cities along the Volga. Through foreign and through White Russian eyes, the Legion was an ideal force for the counter-revolution and overthrow the Soviets. However the Czech Legion was fighting its own struggle and it only occasionally co-operated with White Russian authorities."
Czech Legion - Siberian Anabasis (1917-1920),4,04. SAMARA (26 May 1918),TACTICAL,0,05. KAZAN (7 July 1918),5,"OUTCOME

The Legion succesfully occupied Samara and was threatening more Russian cities along the Volga. Through foreign and through White Russian eyes, the Legion was an ideal force for the counter-revolution and overthrow the Soviets. However the Czech Legion was fighting its own struggle and it only occasionally co-operated with White Russian authorities."
Czech Legion - Siberian Anabasis (1917-1920),4,04. SAMARA (26 May 1918),LOSE,200,04. SAMARA (26 May 1918),4,"OUTCOME

The Legion succesfully occupied Samara and was threatening more Russian cities along the Volga. Through foreign and through White Russian eyes, the Legion was an ideal force for the counter-revolution and overthrow the Soviets. However the Czech Legion was fighting its own struggle and it only occasionally co-operated with White Russian authorities."
Czech Legion - Siberian Anabasis (1917-1920),5,05. KAZAN (7 July 1918),BRILIANT,300,06. KAZAN - RED OFFENSIVE (27 October 1918),9,"OUTCOME

Bolshevik power in Kazan was overthrown and the Czech Legion captured eight train cars of gold.

Furthermore, the loss of Kazan shocked Soviet authorities in Moscow and the Czech Legion was seen as one of the many enemies of the Communist rule in Russia."
Czech Legion - Siberian Anabasis (1917-1920),5,05. KAZAN (7 July 1918),VICTORY,300,06. KAZAN - RED OFFENSIVE (27 October 1918),9,"OUTCOME

Bolshevik power in Kazan was overthrown and the Czech Legion captured eight train cars of gold.

Furthermore, the loss of Kazan shocked Soviet authorities in Moscow and the Czech Legion was seen as one of the many enemies of the Communist rule in Russia."
Czech Legion - Siberian Anabasis (1917-1920),5,05. KAZAN (7 July 1918),TACTICAL,300,06. KAZAN - RED OFFENSIVE (27 October 1918),9,"OUTCOME

Bolshevik power in Kazan was overthrown and the Czech Legion captured eight train cars of gold.

Furthermore, the loss of Kazan shocked Soviet authorities in Moscow and the Czech Legion was seen as one of the many enemies of the Communist rule in Russia."
Czech Legion - Siberian Anabasis (1917-1920),5,05. KAZAN (7 July 1918),LOSE,200,05. KAZAN (7 July 1918),5,"OUTCOME

Bolshevik power in Kazan was overthrown and the Czech Legion captured eight train cars of gold.

Furthermore, the loss of Kazan shocked Soviet authorities in Moscow and the Czech Legion was seen as one of the many enemies of the Communist rule in Russia."
Czech Legion - Siberian Anabasis (1917-1920),6,07. OMSK (22 December 1918),BRILIANT,0,08. UFA (9 June 1919),10,"OUTCOME

The revolt was crushed. Almost 500 rebels were executed. Some of the opponents eventually joined the Soviets. Koltsjak's regime, however, was secured."
Czech Legion - Siberian Anabasis (1917-1920),6,07. OMSK (22 December 1918),VICTORY,0,08. UFA (9 June 1919),10,"OUTCOME

The revolt was crushed. Almost 500 rebels were executed. Some of the opponents eventually joined the Soviets. Koltsjak's regime, however, was secured."
Czech Legion - Siberian Anabasis (1917-1920),6,07. OMSK (22 December 1918),TACTICAL,0,08. UFA (9 June 1919),10,"OUTCOME

The revolt was crushed. Almost 500 rebels were executed. Some of the opponents eventually joined the Soviets. Koltsjak's regime, however, was secured."
Czech Legion - Siberian Anabasis (1917-1920),6,07. OMSK (22 December 1918),LOSE,0,07. OMSK (22 December 1918),6,"OUTCOME

The revolt was crushed. Almost 500 rebels were executed. Some of the opponents eventually joined the Soviets. Koltsjak's regime, however, was secured."
Czech Legion - Siberian Anabasis (1917-1920),7,09. SEMENOV (10 February 1920),BRILIANT,0,10. WLADIWOSTOK (10 March 1920),8,"OUTCOME

After several clashes with Ataman Semenov, Semenov left the Czechs for what they were and concentrated on the Soviet forces which were approaching. The Czech Legion was steaming full speed on Wladiwostok!"
Czech Legion - Siberian Anabasis (1917-1920),7,09. SEMENOV (10 February 1920),VICTORY,0,10. WLADIWOSTOK (10 March 1920),8,"OUTCOME

After several clashes with Ataman Semenov, Semenov left the Czechs for what they were and concentrated on the Soviet forces which were approaching. The Czech Legion was steaming full speed on Wladiwostok!"
Czech Legion - Siberian Anabasis (1917-1920),7,09. SEMENOV (10 February 1920),TACTICAL,0,10. WLADIWOSTOK (10 March 1920),8,"OUTCOME

After several clashes with Ataman Semenov, Semenov left the Czechs for what they were and concentrated on the Soviet forces which were approaching. The Czech Legion was steaming full speed on Wladiwostok!"
Czech Legion - Siberian Anabasis (1917-1920),7,09. SEMENOV (10 February 1920),LOSE,200,09. SEMENOV (10 February 1920),7,"OUTCOME

After several clashes with Ataman Semenov, Semenov left the Czechs for what they were and concentrated on the Soviet forces which were approaching. The Czech Legion was steaming full speed on Wladiwostok!"
Czech Legion - Siberian Anabasis (1917-1920),8,10. WLADIWOSTOK (10 March 1920),BRILIANT,0,Unknown (ID 254),254,"OUTCOME

After Wladiwostok was reached, it took months to get home. Partly because there still had be ships to arrive to take them on board, partly because of a huge journey from the Pacific Ocean to European ports, and from there over land to the new republic of Czechoslovakia: HOME!"
Czech Legion - Siberian Anabasis (1917-1920),8,10. WLADIWOSTOK (10 March 1920),VICTORY,0,Unknown (ID 254),254,"OUTCOME

After Wladiwostok was reached, it took months to get home. Partly because there still had be ships to arrive to take them on board, partly because of a huge journey from the Pacific Ocean to European ports, and from there over land to the new republic of Czechoslovakia: HOME!"
Czech Legion - Siberian Anabasis (1917-1920),8,10. WLADIWOSTOK (10 March 1920),TACTICAL,0,Unknown (ID 254),254,
Czech Legion - Siberian Anabasis (1917-1920),8,10. WLADIWOSTOK (10 March 1920),LOSE,100,10. WLADIWOSTOK (10 March 1920),8,"OUTCOME

After Wladiwostok was reached, it took months to get home. Partly because there still had be ships to arrive to take them on board, partly because of a huge journey from the Pacific Ocean to European ports, and from there over land to the new republic of Czechoslovakia: HOME!"
Czech Legion - Siberian Anabasis (1917-1920),9,06. KAZAN - RED OFFENSIVE (27 October 1918),BRILIANT,0,07. OMSK (22 December 1918),6,"OUTCOME

The Soviets eventually captured Kazan and the Czech Legion would retreat. News from Europe would weaken the wrath against the bolsheviks..."
Czech Legion - Siberian Anabasis (1917-1920),9,06. KAZAN - RED OFFENSIVE (27 October 1918),VICTORY,0,07. OMSK (22 December 1918),6,"OUTCOME

The Soviets eventually captured Kazan and the Czech Legion would retreat. News from Europe would weaken the wrath against the bolsheviks..."
Czech Legion - Siberian Anabasis (1917-1920),9,06. KAZAN - RED OFFENSIVE (27 October 1918),TACTICAL,0,07. OMSK (22 December 1918),6,"OUTCOME

The Soviets eventually captured Kazan and the Czech Legion would retreat. News from Europe would weaken the wrath against the bolsheviks..."
Czech Legion - Siberian Anabasis (1917-1920),9,06. KAZAN - RED OFFENSIVE (27 October 1918),LOSE,200,06. KAZAN - RED OFFENSIVE (27 October 1918),9,"OUTCOME

The Soviets eventually captured Kazan and the Czech Legion would retreat. News from Europe would weaken the wrath against the bolsheviks..."
Czech Legion - Siberian Anabasis (1917-1920),10,08. UFA (9 June 1919),BRILIANT,0,09. SEMENOV (10 February 1920),7,"OUTCOME

The Czech Legion was only sparsely involved in the battles between the Red Army and the White Russian Siberian Army. The White Russians lead defeat after defeat and near the end of 1919 the Red Army had captured Siberia all the way to Omsk. By then, the Czech Legion was already in eastern Siberia..."
Czech Legion - Siberian Anabasis (1917-1920),10,08. UFA (9 June 1919),VICTORY,0,09. SEMENOV (10 February 1920),7,"OUTCOME

The Czech Legion was only sparsely involved in the battles between the Red Army and the White Russian Siberian Army. The White Russians lead defeat after defeat and near the end of 1919 the Red Army had captured Siberia all the way to Omsk. By then, the Czech Legion was already in eastern Siberia..."
Czech Legion - Siberian Anabasis (1917-1920),10,08. UFA (9 June 1919),TACTICAL,0,09. SEMENOV (10 February 1920),7,"OUTCOME

The Czech Legion was only sparsely involved in the battles between the Red Army and the White Russian Siberian Army. The White Russians lead defeat after defeat and near the end of 1919 the Red Army had captured Siberia all the way to Omsk. By then, the Czech Legion was already in eastern Siberia..."
Czech Legion - Siberian Anabasis (1917-1920),10,08. UFA (9 June 1919),LOSE,200,08. UFA (9 June 1919),10,"OUTCOME

The Czech Legion was only sparsely involved in the battles between the Red Army and the White Russian Siberian Army. The White Russians lead defeat after defeat and near the end of 1919 the Red Army had captured Siberia all the way to Omsk. By then, the Czech Legion was already in eastern Siberia..."
A Long Journey to Freedom (1848-1865),0,"20. 4. 1848, Prologue: Knechtschaft oder Revolution! (Slavery or Revolution!)",BRILIANT,30,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)",1,"Prologue: Knechtschaft oder Revolution! * BV
( Prologue: Slavery or Revolution! * BV )

we have to move fast, General !"
A Long Journey to Freedom (1848-1865),0,"20. 4. 1848, Prologue: Knechtschaft oder Revolution! (Slavery or Revolution!)",VICTORY,30,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)",1,"Prologue: Knechtschaft oder Revolution! * V
( Prologue: Slavery or Revolution! * TV )

we have to hurry up, General !"
A Long Journey to Freedom (1848-1865),0,"20. 4. 1848, Prologue: Knechtschaft oder Revolution! (Slavery or Revolution!)",TACTICAL,30,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)",1,"Prologue: Knechtschaft oder Revolution! * TV
( Prologue: Slavery or Revolution! * TV )

we have to hurry up, General !"
A Long Journey to Freedom (1848-1865),0,"20. 4. 1848, Prologue: Knechtschaft oder Revolution! (Slavery or Revolution!)",LOSE,0,CAMPAIGN END / DEFEAT,255,"Prologue: Knechtschaft oder Revolution! * L

The Revolution and your Life is Lost."
A Long Journey to Freedom (1848-1865),1,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)",BRILIANT,40,"13. 6. 1849, The Palataine Uprising",2,"Der Heckerzug (Hecker's Uprising) * BV

Well done, Herr General !

...but the enemy is too strong, we have to retreat to Switzerland, waiting for a opportunity to continue the fight....."
A Long Journey to Freedom (1848-1865),1,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)",VICTORY,40,"13. 6. 1849, The Palataine Uprising",2,"Der Heckerzug (Hecker's Uprising) * V

Not bad, Herr General !

...but the enemy is too strong, we have to retreat toSwitzerland, waiting for a opportunity to continue the fight....."
A Long Journey to Freedom (1848-1865),1,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)",TACTICAL,40,"13. 6. 1849, The Palataine Uprising",2,"Der Heckerzug (Hecker's Uprising) * TV

A hard battle, Herr General !

...but the enemy is too strong, we have to retreat toSwitzerland, waiting for a opportunity to continue the fight....."
A Long Journey to Freedom (1848-1865),1,"20. 4. 1848, Der Heckerzug (Hecker's Uprising)",LOSE,0,CAMPAIGN END / DEFEAT,255,"Der Heckerzug (Hecker's Uprising) * L

The Revolution and your Life is Lost."
A Long Journey to Freedom (1848-1865),2,"13. 6. 1849, The Palataine Uprising",BRILIANT,40,"21. 6. 1849, The decisive Battle at Waghäusel",3,"The Palataine Uprising * BV

Well done, Herr General !

...but again, we have no chance to hold the conquered positions:  two complete prussian Armycorps are arriving from the north and the west...
But there's very good news, too ! The People of Baden and their whole army, except the High Command, has joined again our side!
Now, we must retreat to Baden, and unite our armies...."
A Long Journey to Freedom (1848-1865),2,"13. 6. 1849, The Palataine Uprising",VICTORY,40,"21. 6. 1849, The decisive Battle at Waghäusel",3,"The Palataine Uprising * V

Not bad, Herr General !

...but again, we have no chance to hold the conquered positions:  two complete prussian Armycorps are arriving from the north and the west...
But there's very good news, too ! The People of Baden and their whole army, except the High Command, has joined again our side!
Now, we must retreat to Baden, and unite our armies...."
A Long Journey to Freedom (1848-1865),2,"13. 6. 1849, The Palataine Uprising",TACTICAL,40,"21. 6. 1849, The decisive Battle at Waghäusel",3,"The Palataine Uprising * TV

Well done, Herr General !

...but again, we have no chance to hold the conquered positions:  two complete prussian Armycorps are arriving from the north and the west...
But there's very good news, too ! The People of Baden and their whole army, except the High Command, has joined again our side!
Now, we must retreat to Baden, and unite our armies...."
A Long Journey to Freedom (1848-1865),2,"13. 6. 1849, The Palataine Uprising",LOSE,0,CAMPAIGN END / DEFEAT,255,"The Palataine Uprising * L

....the Prussians will shoot you in the dawn...."
A Long Journey to Freedom (1848-1865),3,"21. 6. 1849, The decisive Battle at Waghäusel",BRILIANT,60,"May, 10., 1861 The St. Luis Arsenal",4,"The decisive Battle at Waghäusel * BV

Lieber Freund,
we've fought very brave, but the Prussians sent more and more troops against us... at last our front collapsed.... 
All our men, who have not been killed or captured, flew to Switzerland and most of us want to emigrate to the USA... there, we can live in liberty...."
A Long Journey to Freedom (1848-1865),3,"21. 6. 1849, The decisive Battle at Waghäusel",VICTORY,50,"May, 10., 1861 The St. Luis Arsenal",4,"The decisive Battle at Waghäusel * V

Lieber Freund,
we've fought very brave, but the Prussians sent more and more troops against us... at last our front collapsed.... 
All our men, who have not been killed or captured, flew to Switzerland and most of us want to emigrate to the USA... there, we can live in liberty...."
A Long Journey to Freedom (1848-1865),3,"21. 6. 1849, The decisive Battle at Waghäusel",TACTICAL,40,"May, 10., 1861 The St. Luis Arsenal",4,"The decisive Battle at Waghäusel * TV

Lieber Freund,
we've fought very brave, but the Prussians sent more and more troops against us... at last our front collapsed.... 
All our men, who have not been killed or captured, flew to Switzerland and most of us want to emigrate to the USA... there, we can live in liberty..."
A Long Journey to Freedom (1848-1865),3,"21. 6. 1849, The decisive Battle at Waghäusel",LOSE,0,CAMPAIGN END / DEFEAT,255,"The decisive Battle at Waghäusel * L

Lieber Freund,
the Prussians sent more and more troops against us... at last our front collapsed.... 
All our Men, who's not killed or captured, flown to the Swiss and the most of us want to emigrate to the USA... there, we can live in freedom..."
A Long Journey to Freedom (1848-1865),4,"May, 10., 1861 The St. Luis Arsenal",BRILIANT,80,"June, 17., 1861 The Boonville Races",5,"The St. Luis Arsenal * BV

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

General,
We need commanders like you urgently...confirm your appointment as general of your troops for the time being
Having reestablished connection we are able to send you men and material
Move your troops westward along the Missouri now. The moment we have broken the last resistance of rebels in Boonville our connection lines are secured

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),4,"May, 10., 1861 The St. Luis Arsenal",VICTORY,60,"June, 17., 1861 The Boonville Races",5,"The St. Luis Arsenal * V

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

General,
We need commanders like you urgently...confirm your appointment as general of your troops for the time being
Having reestablished connection we are able to send you men and material
Move your troops westward along the Missouri now. The moment we have broken the last resistance of rebels in Boonville our connection lines are secured

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),4,"May, 10., 1861 The St. Luis Arsenal",TACTICAL,60,"June, 17., 1861 The Boonville Races",5,"The St. Luis Arsenal * TV

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

General,
We need commanders like you urgently...confirm your appointment as general of your troops for the time being
Having reestablished connection we are able to send you men and material
Move your troops westward along the Missouri now. The moment we have broken the last resistance of rebels in Boonville our connection lines are secured

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),4,"May, 10., 1861 The St. Luis Arsenal",LOSE,0,CAMPAIGN END / DEFEAT,255,"The St. Luis Arsenal * L

Everything is lost."
A Long Journey to Freedom (1848-1865),5,"June, 17., 1861 The Boonville Races",BRILIANT,60,"August, 10., 1861 Wilson's Creek",6,"The Boonville Races * BV

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

Dear Sir,
very well done!
But now we have to advance to Missouri as fast as possible!

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),5,"June, 17., 1861 The Boonville Races",VICTORY,50,"August, 10., 1861 Wilson's Creek",6,"The Boonville Races * V

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

Dear Sir,
very well done!
But now we have to advance to Missouri as fast as possible!

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),5,"June, 17., 1861 The Boonville Races",TACTICAL,40,"August, 10., 1861 Wilson's Creek",6,"The Boonville Races * TV

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

Dear Sir,
well done!
But now we have to advance to Missouri as fast as possible!

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),5,"June, 17., 1861 The Boonville Races",LOSE,0,CAMPAIGN END / DEFEAT,255,"The Boonville Races * L

Everything is lost."
A Long Journey to Freedom (1848-1865),6,"August, 10., 1861 Wilson's Creek",BRILIANT,100,"September, 20., 1861 Battle of the Hemp Bales",7,"Wilson's Creek * BV

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

Dear Sir,
now you should advance to the interior of Missouri with caution.
We pray for you.

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),6,"August, 10., 1861 Wilson's Creek",VICTORY,100,"September, 20., 1861 Battle of the Hemp Bales",7,"Wilson's Creek * V

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

Dear Sir,
now you should advance to the interior of Missouri with caution.
We pray for you.

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),6,"August, 10., 1861 Wilson's Creek",TACTICAL,100,"September, 20., 1861 Battle of the Hemp Bales",7,"Wilson's Creek * TV

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

Dear Sir,
now you should advance to the interior of Missouri with caution.
We pray for you.

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),6,"August, 10., 1861 Wilson's Creek",LOSE,0,CAMPAIGN END / DEFEAT,255,"Wilson's Creek * L

Everything is lost."
A Long Journey to Freedom (1848-1865),7,"September, 20., 1861 Battle of the Hemp Bales",BRILIANT,120,"March, 3., 1862 Pea Ridge",8,"Battle of the Hemp Bales * BV

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

Dear Sir,
excellent ! You have managed to struggle free !
It´s a pity but we cannot grant a rest to you and your men...

We have been able to secure Missouri for the Union but danger is coming from Arkansas ... you have to move your men there immidiately

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
A Long Journey to Freedom (1848-1865),7,"September, 20., 1861 Battle of the Hemp Bales",VICTORY,110,"March, 3., 1862 Pea Ridge",8,"Battle of the Hemp Bales * V

----{secret telegraph depeche to general}-----
THE WHITE HOUSE; WASHINGTON,

Dear Sir,
excellent ! You have managed to struggle free !
It´s a pity but we cannot grant a rest to you and your men...

We have been able to secure Missouri for the Union but danger is coming from Arkansas ... you have to move your men there immidiately

THE PRESIDENT OF THE UNITED STATES
-----{end of secret telegraph depeche}----"
